latitude,longitude,marches
49.6,1.4,182
47.8,6.4,181
50.8,3.0,181
47.4,-1.6,181
49.0,2.9,181
42.8,0.6,181
48.3,1.2,181
46.5,3.3,180
46.2,5.3,180
48.9,2.9,179
48.8,8.0,179
43.3,2.4,179
48.9,8.1,179
48.0,-2.5,178
45.5,6.0,178
43.4,-1.4,178
48.6,0.2,178
43.9,4.7,178
47.3,0.6,178
48.9,0.2,177
50.2,3.6,177
46.7,0.3,177
44.1,4.9,177
43.5,2.4,176
44.6,6.2,176
48.7,1.9,176
43.4,1.2,176
43.2,2.8,175
48.6,-2.8,175
46.7,-1.0,175
44.6,-0.0,175
46.1,1.0,175
49.5,1.7,175
49.6,0.5,175
50.9,2.5,174
46.1,6.0,174
45.8,5.9,174
47.5,-1.8,174
41.7,9.1,174
50.6,3.2,173
44.9,1.2,173
47.2,-0.1,173
43.2,5.4,173
49.0,6.2,172
46.2,6.0,172
48.0,-4.5,171
48.6,6.1,171
49.6,2.6,170
49.3,6.2,170
48.3,0.7,170
48.7,2.8,170
44.8,-1.1,170
48.3,7.0,170
48.3,-4.2,169
44.2,-1.2,169
43.4,0.3,168
43.5,5.3,168
48.5,-4.8,168
45.0,-0.7,168
45.8,3.5,167
48.6,1.7,167
49.0,7.6,167
45.4,4.7,167
50.6,2.5,166
49.1,6.6,166
48.8,2.8,166
46.6,3.8,165
47.8,-1.8,165
44.1,1.2,164
43.9,2.8,164
45.3,6.3,164
43.6,6.2,164
50.8,2.6,163
45.8,5.3,163
45.9,6.8,163
44.7,-0.5,162
44.4,6.6,162
48.0,-0.2,162
48.0,3.5,162
48.7,5.9,162
44.6,2.3,162
43.3,6.1,161
45.2,5.3,161
42.7,1.8,161
48.7,7.6,161
48.2,-2.4,160
45.7,5.3,160
45.2,1.6,160
48.0,-1.9,160
48.2,-1.9,159
44.6,2.0,159
46.4,-0.2,158
45.1,4.3,158
45.4,0.9,157
45.0,3.5,157
48.3,-1.4,157
49.1,-0.1,157
42.6,8.8,157
48.5,3.7,156
44.1,6.1,156
48.1,-1.9,156
44.5,1.1,156
48.2,5.8,156
48.0,-4.4,156
45.0,4.1,155
47.2,0.1,155
43.6,6.8,154
44.1,5.2,154
50.1,3.4,154
47.5,0.7,154
49.1,4.5,154
48.5,7.6,154
49.2,6.8,154
43.7,7.4,154
47.3,-2.5,153
47.3,0.8,153
47.4,-0.2,153
45.9,0.0,153
46.4,-0.8,152
47.0,-2.0,152
49.5,5.8,152
48.8,-3.0,152
47.8,1.7,152
47.3,5.2,152
45.9,4.2,152
44.2,4.9,152
45.2,6.5,152
48.5,2.2,152
50.8,1.6,151
47.0,-2.2,151
45.2,4.1,151
44.7,3.9,151
45.0,-0.1,151
47.8,-2.1,150
48.6,-4.3,150
48.2,-3.3,150
46.4,4.7,149
41.7,8.9,149
45.0,0.2,149
44.0,1.3,149
49.1,7.4,149
50.3,3.1,148
43.6,-1.4,148
48.4,7.7,148
45.4,0.1,147
47.0,-1.2,147
49.4,0.8,147
42.5,2.0,147
50.4,3.2,147
45.4,1.2,147
43.5,5.9,147
47.8,7.1,147
48.9,3.5,147
43.5,6.7,147
46.6,-0.2,146
48.5,2.0,146
46.3,2.7,146
47.7,1.5,146
47.2,-2.1,146
49.0,0.9,145
46.0,2.9,145
49.3,1.9,144
47.4,-2.2,144
46.1,3.2,144
48.1,1.3,144
44.6,-0.2,144
46.4,-0.7,144
44.6,6.7,144
41.9,8.8,144
47.8,7.4,143
47.9,0.1,143
43.7,4.8,143
45.9,4.9,142
43.7,1.6,142
44.4,2.5,141
50.3,4.1,141
50.3,2.6,141
43.4,3.5,141
45.2,0.3,141
48.0,7.1,141
43.7,3.3,140
48.2,-3.8,140
43.6,5.3,140
49.5,5.7,140
45.2,5.9,140
49.7,3.3,140
43.4,5.8,139
45.9,6.2,139
50.3,3.4,139
48.3,6.4,139
47.3,-2.0,139
47.6,-3.1,139
44.6,4.5,139
46.4,5.7,139
48.6,-3.7,139
44.8,4.8,138
48.6,4.9,138
43.4,1.7,138
50.3,3.6,138
45.5,5.1,138
44.1,6.0,137
48.6,3.0,137
46.3,6.5,136
48.1,2.8,135
45.1,3.1,135
43.4,5.5,135
47.7,-2.2,135
47.3,0.5,135
43.3,6.0,134
46.8,3.5,134
43.0,-0.4,133
47.6,6.0,133
48.4,1.2,133
45.8,6.0,133
49.3,-0.4,132
43.7,-0.3,132
47.7,-0.2,132
45.7,3.0,132
48.4,-1.9,132
49.3,2.2,132
45.1,0.5,132
46.4,4.3,131
46.4,4.8,131
46.4,5.8,131
46.7,-1.5,131
46.0,3.5,131
48.6,6.4,131
44.7,4.4,131
48.0,2.1,130
44.7,0.4,130
48.1,2.4,130
43.1,3.1,130
43.4,1.5,129
48.0,4.9,129
47.5,-2.8,129
45.3,2.2,129
48.4,-4.8,128
47.6,-3.5,128
44.8,0.7,128
46.1,4.3,128
44.0,2.5,128
43.6,6.9,128
47.8,-3.2,128
48.7,2.9,128
49.3,-0.5,128
42.9,1.6,128
46.3,4.7,127
47.2,6.3,127
45.4,3.3,127
46.8,-0.1,127
43.6,5.5,127
48.5,0.8,127
44.0,3.9,127
47.7,-3.3,127
48.5,2.3,126
43.1,6.2,126
48.3,2.4,126
48.5,1.0,126
49.5,-1.9,126
46.0,0.7,125
48.0,-4.6,125
45.8,0.2,125
43.8,4.2,125
47.9,2.9,125
47.8,-1.9,125
43.5,-0.9,124
48.7,7.9,124
45.1,5.5,124
48.0,-1.6,124
43.7,-0.8,124
46.0,5.8,123
48.8,6.1,123
47.1,-2.1,123
47.6,6.8,123
47.6,-2.7,123
47.2,-1.4,122
43.4,-0.7,122
43.9,4.0,122
47.3,1.0,122
43.1,1.9,122
45.9,4.5,122
47.8,2.0,122
47.7,5.3,121
47.5,-2.0,121
48.1,0.7,121
49.4,4.7,120
43.1,0.4,120
47.6,1.4,120
43.8,4.9,120
43.5,3.8,120
50.4,2.7,120
49.4,1.4,119
44.8,-0.1,119
48.5,-0.2,119
48.2,-3.0,119
47.5,-1.2,119
48.3,-3.2,119
47.5,-1.9,119
47.1,6.3,118
44.7,-0.7,118
43.9,1.3,118
47.6,0.2,118
43.6,0.9,118
50.6,2.9,118
48.5,6.5,118
43.6,5.2,117
43.7,1.2,117
45.3,4.1,117
43.5,6.1,117
46.9,-2.2,117
50.1,3.9,116
44.4,0.3,116
44.3,2.0,116
44.5,6.1,116
49.0,2.7,116
43.2,-0.3,116
43.5,1.1,116
